x,y,z,reachable,fraction,radial_distance,t_start,t_end,ocr_series_csv,n_captures,ocr_raw,ocr_mean,ocr_n,ocr_times
0.359,0.009000000000000001,0.001,True,1.0,0.0128,2025-09-08 15:38:10.088,2025-09-08 15:38:20.089,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y9mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y9mm_ocr.csv,40,"3, 0, 0, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 4, 2, 2, 2, 2, 3, 2, 2",1.43,28,"15:38:11, 15:38:11, 15:38:12, 15:38:12, 15:38:12, 15:38:12, 15:38:13, 15:38:13, 15:38:13, 15:38:13, 15:38:14, 15:38:14, 15:38:14, 15:38:14, 15:38:15, 15:38:15, 15:38:15, 15:38:15, 15:38:16, 15:38:16, 15:38:16, 15:38:16, 15:38:17, 15:38:17, 15:38:17, 15:38:17, 15:38:18, 15:38:18"
0.359,0.006,0.001,True,1.0,0.0109,2025-09-08 15:38:22.121,2025-09-08 15:38:32.122,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_ocr.csv,40,"1, 1, 1, 3, 3, 3, 3, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 0, 0, 0, 0, 1, 2, 2, 2",1.54,28,"15:38:23, 15:38:23, 15:38:24, 15:38:24, 15:38:24, 15:38:24, 15:38:25, 15:38:25, 15:38:25, 15:38:25, 15:38:26, 15:38:26, 15:38:26, 15:38:26, 15:38:27, 15:38:27, 15:38:27, 15:38:27, 15:38:28, 15:38:28, 15:38:28, 15:38:28, 15:38:29, 15:38:29, 15:38:29, 15:38:29, 15:38:30, 15:38:30"
0.359,0.003,0.001,True,1.0,0.0095,2025-09-08 15:38:34.154,2025-09-08 15:38:44.156,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y3mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y3mm_ocr.csv,40,"6, 6, 4, 4, 4, 4, 1, 1, 4, 4, 4, 3, 2, 2, 3, 3, 5, 5, 5, 5, 5, 6, 4, 4, 3, 3, 0, 0",3.57,28,"15:38:35, 15:38:35, 15:38:36, 15:38:36, 15:38:36, 15:38:36, 15:38:37, 15:38:37, 15:38:37, 15:38:37, 15:38:38, 15:38:38, 15:38:38, 15:38:38, 15:38:39, 15:38:39, 15:38:39, 15:38:39, 15:38:40, 15:38:40, 15:38:40, 15:38:40, 15:38:41, 15:38:41, 15:38:41, 15:38:41, 15:38:42, 15:38:42"
0.359,0.0,0.001,True,1.0,0.0091,2025-09-08 15:38:46.188,2025-09-08 15:38:56.189,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y0mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y0mm_ocr.csv,40,"7, 2, 2, 1, 3, 3, 5, 5, 5, 1, 1, 2, 2, 1, 7, 7, 6, 6, 6, 6, 5, 5, 2, 2, 2, 2, 1, 1",3.50,28,"15:38:47, 15:38:47, 15:38:48, 15:38:48, 15:38:48, 15:38:48, 15:38:49, 15:38:49, 15:38:49, 15:38:49, 15:38:50, 15:38:50, 15:38:50, 15:38:50, 15:38:51, 15:38:51, 15:38:51, 15:38:51, 15:38:52, 15:38:52, 15:38:52, 15:38:52, 15:38:53, 15:38:53, 15:38:53, 15:38:53, 15:38:54, 15:38:54"
0.362,0.0,0.001,True,1.0,0.012,2025-09-08 15:38:58.221,2025-09-08 15:39:08.223,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x362mm_y0mm/raster_log_2025-09-08 15:34:05.221_z1mm_x362mm_y0mm_ocr.csv,40,"1, 1, 1, 1, 1, 2, 2, 3, 3, 0, 0, 0, 0, 0, 3, 2, 2, 1, 0, 0, 2, 2, 2, 1, 1, 0, 0, 1",1.14,28,"15:38:59, 15:39:00, 15:39:00, 15:39:00, 15:39:00, 15:39:01, 15:39:01, 15:39:01, 15:39:01, 15:39:02, 15:39:02, 15:39:02, 15:39:02, 15:39:03, 15:39:03, 15:39:03, 15:39:03, 15:39:04, 15:39:04, 15:39:04, 15:39:04, 15:39:05, 15:39:05, 15:39:05, 15:39:05, 15:39:06, 15:39:06, 15:39:06"
0.362,0.003,0.001,True,1.0,0.0124,2025-09-08 15:39:10.254,2025-09-08 15:39:20.256,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x362mm_y3mm/raster_log_2025-09-08 15:34:05.221_z1mm_x362mm_y3mm_ocr.csv,40,"1, 1, 0, 0, 0, 0, 4, 1, 1, 0, 0, 1, 2, 2, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1",0.68,28,"15:39:11, 15:39:12, 15:39:12, 15:39:12, 15:39:12, 15:39:13, 15:39:13, 15:39:13, 15:39:13, 15:39:14, 15:39:14, 15:39:14, 15:39:14, 15:39:15, 15:39:15, 15:39:15, 15:39:15, 15:39:16, 15:39:16, 15:39:16, 15:39:16, 15:39:17, 15:39:17, 15:39:17, 15:39:17, 15:39:18, 15:39:18, 15:39:18"
0.362,0.006,0.001,True,1.0,0.0135,2025-09-08 15:39:22.288,2025-09-08 15:39:32.289,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x362mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x362mm_y6mm_ocr.csv,40,"0, 0, 0, 0, 4, 1, 1, 1, 0, 0, 0, 1, 1, 2, 1, 1, 0, 0, 0, 1, 1, 4, 1, 1, 1, 0, 1, 1",0.86,28,"15:39:23, 15:39:24, 15:39:24, 15:39:24, 15:39:24, 15:39:25, 15:39:25, 15:39:25, 15:39:25, 15:39:26, 15:39:26, 15:39:26, 15:39:26, 15:39:27, 15:39:27, 15:39:27, 15:39:27, 15:39:28, 15:39:28, 15:39:28, 15:39:28, 15:39:29, 15:39:29, 15:39:29, 15:39:29, 15:39:30, 15:39:30, 15:39:30"
0.362,0.009000000000000001,0.001,True,1.0,0.015,2025-09-08 15:39:34.255,2025-09-08 15:39:44.256,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x362mm_y9mm/raster_log_2025-09-08 15:34:05.221_z1mm_x362mm_y9mm_ocr.csv,40,"1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0",0.36,28,"15:39:35, 15:39:36, 15:39:36, 15:39:36, 15:39:36, 15:39:37, 15:39:37, 15:39:37, 15:39:37, 15:39:38, 15:39:38, 15:39:38, 15:39:38, 15:39:39, 15:39:39, 15:39:39, 15:39:39, 15:39:40, 15:39:40, 15:39:40, 15:39:40, 15:39:41, 15:39:41, 15:39:41, 15:39:41, 15:39:42, 15:39:42, 15:39:42"
0.362,0.012,0.001,True,1.0,0.017,2025-09-08 15:39:46.288,2025-09-08 15:39:56.289,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x362mm_y12mm/raster_log_2025-09-08 15:34:05.221_z1mm_x362mm_y12mm_ocr.csv,40,"5, 0, 0, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1",0.82,28,"15:39:47, 15:39:48, 15:39:48, 15:39:48, 15:39:48, 15:39:49, 15:39:49, 15:39:49, 15:39:49, 15:39:50, 15:39:50, 15:39:50, 15:39:50, 15:39:51, 15:39:51, 15:39:51, 15:39:51, 15:39:52, 15:39:52, 15:39:52, 15:39:52, 15:39:53, 15:39:53, 15:39:53, 15:39:53, 15:39:54, 15:39:54, 15:39:54"
0.362,0.015,0.001,True,1.0,0.0192,2025-09-08 15:39:58.255,2025-09-08 15:40:08.256,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x362mm_y15mm/raster_log_2025-09-08 15:34:05.221_z1mm_x362mm_y15mm_ocr.csv,40,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",0.00,28,"15:39:59, 15:40:00, 15:40:00, 15:40:00, 15:40:00, 15:40:01, 15:40:01, 15:40:01, 15:40:01, 15:40:02, 15:40:02, 15:40:02, 15:40:02, 15:40:03, 15:40:03, 15:40:03, 15:40:03, 15:40:04, 15:40:04, 15:40:04, 15:40:04, 15:40:05, 15:40:05, 15:40:05, 15:40:05, 15:40:06, 15:40:06, 15:40:06"
