x,y,z,reachable,fraction,radial_distance,t_start,t_end,ocr_series_csv,n_captures
0.359,0.015,0.001,True,1.0,0.0175,2025-09-08 15:37:46.021,2025-09-08 15:37:56.023,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y15mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y15mm_ocr.csv,40
0.359,0.012,0.001,True,1.0,0.015,2025-09-08 15:37:58.054,2025-09-08 15:38:08.055,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y12mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y12mm_ocr.csv,40
0.359,0.009000000000000001,0.001,True,1.0,0.0128,2025-09-08 15:38:10.088,2025-09-08 15:38:20.089,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y9mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y9mm_ocr.csv,40
0.359,0.006,0.001,True,1.0,0.0109,2025-09-08 15:38:22.121,2025-09-08 15:38:32.122,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y6mm_ocr.csv,40
0.359,0.003,0.001,True,1.0,0.0095,2025-09-08 15:38:34.154,2025-09-08 15:38:44.156,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y3mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y3mm_ocr.csv,40
0.359,0.0,0.001,True,1.0,0.0091,2025-09-08 15:38:46.188,2025-09-08 15:38:56.189,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x359mm_y0mm/raster_log_2025-09-08 15:34:05.221_z1mm_x359mm_y0mm_ocr.csv,40
0.362,0.0,0.001,True,1.0,0.012,2025-09-08 15:38:58.221,2025-09-08 15:39:08.223,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x362mm_y0mm/raster_log_2025-09-08 15:34:05.221_z1mm_x362mm_y0mm_ocr.csv,40
0.362,0.003,0.001,True,1.0,0.0124,2025-09-08 15:39:10.254,2025-09-08 15:39:20.256,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x362mm_y3mm/raster_log_2025-09-08 15:34:05.221_z1mm_x362mm_y3mm_ocr.csv,40
0.362,0.006,0.001,True,1.0,0.0135,2025-09-08 15:39:22.288,2025-09-08 15:39:32.289,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x362mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x362mm_y6mm_ocr.csv,40
0.362,0.009000000000000001,0.001,True,1.0,0.015,2025-09-08 15:39:34.255,2025-09-08 15:39:44.256,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x362mm_y9mm/raster_log_2025-09-08 15:34:05.221_z1mm_x362mm_y9mm_ocr.csv,40
0.362,0.012,0.001,True,1.0,0.017,2025-09-08 15:39:46.288,2025-09-08 15:39:56.289,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x362mm_y12mm/raster_log_2025-09-08 15:34:05.221_z1mm_x362mm_y12mm_ocr.csv,40
0.362,0.015,0.001,True,1.0,0.0192,2025-09-08 15:39:58.255,2025-09-08 15:40:08.256,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x362mm_y15mm/raster_log_2025-09-08 15:34:05.221_z1mm_x362mm_y15mm_ocr.csv,40
0.365,0.015,0.001,True,1.0,0.0212,2025-09-08 15:40:10.288,2025-09-08 15:40:20.289,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x365mm_y15mm/raster_log_2025-09-08 15:34:05.221_z1mm_x365mm_y15mm_ocr.csv,40
0.365,0.012,0.001,True,1.0,0.0192,2025-09-08 15:40:22.354,2025-09-08 15:40:32.356,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x365mm_y12mm/raster_log_2025-09-08 15:34:05.221_z1mm_x365mm_y12mm_ocr.csv,40
0.365,0.009000000000000001,0.001,True,1.0,0.0175,2025-09-08 15:40:34.388,2025-09-08 15:40:44.390,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x365mm_y9mm/raster_log_2025-09-08 15:34:05.221_z1mm_x365mm_y9mm_ocr.csv,40
0.365,0.006,0.001,True,1.0,0.0162,2025-09-08 15:40:46.354,2025-09-08 15:40:56.356,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x365mm_y6mm/raster_log_2025-09-08 15:34:05.221_z1mm_x365mm_y6mm_ocr.csv,40
0.365,0.003,0.001,True,1.0,0.0153,2025-09-08 15:40:58.321,2025-09-08 15:41:08.322,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x365mm_y3mm/raster_log_2025-09-08 15:34:05.221_z1mm_x365mm_y3mm_ocr.csv,40
0.365,0.0,0.001,True,1.0,0.015,2025-09-08 15:41:10.288,2025-09-08 15:41:20.289,/home/hannah_kunze/catkin_ws/raster_results/screenshots/z1mm/x365mm_y0mm/raster_log_2025-09-08 15:34:05.221_z1mm_x365mm_y0mm_ocr.csv,40
